VCD info: dumpfile top.vcd opened for output.
Time	PC		Instr		ALU		RegWrite
t=3065000 PC=000004c4 IADDR=000004c4 IRDATA=00000013 INSTR=00000013
t=3075000 PC=000004c8 IADDR=000004c8 IRDATA=00000013 INSTR=00000013
t=3085000 PC=000004cc IADDR=000004cc IRDATA=00000013 INSTR=00000013
t=3095000 PC=000004d0 IADDR=000004d0 IRDATA=00000013 INSTR=00000013
t=3105000 PC=000004d4 IADDR=000004d4 IRDATA=00000013 INSTR=00000013
t=3115000 PC=000004d8 IADDR=000004d8 IRDATA=00000013 INSTR=00000013
t=3125000 PC=000004dc IADDR=000004dc IRDATA=00000013 INSTR=00000013
t=3135000 PC=000004e0 IADDR=000004e0 IRDATA=00000013 INSTR=00000013
t=3145000 PC=000004e4 IADDR=000004e4 IRDATA=00000013 INSTR=00000013
t=3155000 PC=000004e8 IADDR=000004e8 IRDATA=00000013 INSTR=00000013
t=3165000 PC=000004ec IADDR=000004ec IRDATA=00000013 INSTR=00000013
t=3175000 PC=000004f0 IADDR=000004f0 IRDATA=00000013 INSTR=00000013
t=3185000 PC=000004f4 IADDR=000004f4 IRDATA=00000013 INSTR=00000013
t=3195000 PC=000004f8 IADDR=000004f8 IRDATA=00000013 INSTR=00000013
t=3205000 PC=000004fc IADDR=000004fc IRDATA=00000013 INSTR=00000013
t=3215000 PC=00000500 IADDR=00000500 IRDATA=00000013 INSTR=00000013
t=3225000 PC=00000504 IADDR=00000504 IRDATA=00000013 INSTR=00000013
t=3235000 PC=00000508 IADDR=00000508 IRDATA=00000013 INSTR=00000013
t=3245000 PC=0000050c IADDR=0000050c IRDATA=00000013 INSTR=00000013
t=3255000 PC=00000510 IADDR=00000510 IRDATA=00000013 INSTR=00000013
t=3265000 PC=00000514 IADDR=00000514 IRDATA=00000013 INSTR=00000013
t=3275000 PC=00000518 IADDR=00000518 IRDATA=00000013 INSTR=00000013
t=3285000 PC=0000051c IADDR=0000051c IRDATA=00000013 INSTR=00000013
t=3295000 PC=00000520 IADDR=00000520 IRDATA=00000013 INSTR=00000013
t=3305000 PC=00000524 IADDR=00000524 IRDATA=00000013 INSTR=00000013
t=3315000 PC=00000528 IADDR=00000528 IRDATA=00000013 INSTR=00000013
t=3325000 PC=0000052c IADDR=0000052c IRDATA=00000013 INSTR=00000013
t=3335000 PC=00000530 IADDR=00000530 IRDATA=00000013 INSTR=00000013
t=3345000 PC=00000534 IADDR=00000534 IRDATA=00000013 INSTR=00000013
t=3355000 PC=00000538 IADDR=00000538 IRDATA=00000013 INSTR=00000013
