VCD info: dumpfile soc_top_tb.vcd opened for output.
[TB] Applying System Reset Initialization...
Time=2550ns | PC=0x000001ec | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2570ns | PC=0x000001f0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2590ns | PC=0x000001f4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2610ns | PC=0x000001f8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2630ns | PC=0x000001fc | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2650ns | PC=0x00000200 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2670ns | PC=0x00000204 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2690ns | PC=0x00000208 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2710ns | PC=0x0000020c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2730ns | PC=0x00000210 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2750ns | PC=0x00000214 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2770ns | PC=0x00000218 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2790ns | PC=0x0000021c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2810ns | PC=0x00000220 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2830ns | PC=0x00000224 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2850ns | PC=0x00000228 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2870ns | PC=0x0000022c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2890ns | PC=0x00000230 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2910ns | PC=0x00000234 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2930ns | PC=0x00000238 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2950ns | PC=0x0000023c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2970ns | PC=0x00000240 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=2990ns | PC=0x00000244 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3010ns | PC=0x00000248 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3030ns | PC=0x0000024c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3050ns | PC=0x00000250 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3070ns | PC=0x00000254 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
